,Measures,Single operand,Numerator,Denominator
22195,percentage of inactive population by nationality,,['inactive population'],['Total number of nationality']
22196,percentage of inactive population by sex,,['inactive population'],['Total number of sex']
22197,percentage of long_term unemployment,,['long_term unemployment'],"[""Total number of ['long_term', 'unemployment']""]"
22198,percentage of population in jobless households,,['population'],['Total number of jobless households']
22199,percentage of qualified people unemployed,,['qualified people'],"[""Total number of ['qualified', 'people']""]"
22200,percentage of unemployment with primary education _percentage of total unemployment_,,['unemployment primary education _percentage total unemployment'],['primary education _percentage total unemployment']
22201,percentage of unemployment with secondary education _percentage of total unemployment_,,['unemployment secondary education _percentage total unemployment'],['secondary education _percentage total unemployment']
22202,percentage of unemployment with tertiary education _percentage of total unemployment_,,['unemployment tertiary education _percentage total unemployment'],['tertiary education _percentage total unemployment']
22203,percentage of unemployment_ female _percentage of female labor force_,,['female labor'],"[""Total number of ['female', 'labor', 'force']""]"
22204,percentage of unemployment_ male _percentage of male labor force_,,['unemployment _ male _percentage male labor force'],['_percentage male labor force']
22205,percent unemployment of country females,,,
22206,percent unemployment of country males,,,
22207,percent unemployment of new country graduates within 1 year of graduation,,,
22208,average duration of unemployment,,,
22209,harmonized unemployment _ age class 15_24,,,
22210,harmonized unemployment _ age class 25_74,,,
22211,harmonized unemployment by gender _ total,,,
22212,long_term unemployment _percentage of total unemployment_,,['total unemployment'],"[""Total number of ['total', 'unemployment']""]"
22213,long_term unemployment rate,,,
22214,long_term unemployment_ female _percentage of female unemployment_,,['female unemployment'],"[""Total number of ['female', 'unemployment']""]"
22215,long_term unemployment_ male _percentage of male unemployment_,,['male unemployment'],"[""Total number of ['male', 'unemployment']""]"
22216,national unemployment rate,,,
22217,previous occupations of the unemployed_ by sex,,,
22218,range in regional unemployment rate_ small regions_ maximum,,,
22219,range in regional unemployment rate_ small regions_ minimum,,,
22220,regional unemployment rates,,,
22221,unemployed population by educational attainment,,,
22222,unemployed population by region_ duration of unemployment_ age group_ nationality and gender,,,
22223,unemployment rate by race ,,,
22224,unemployment rate by region_ age group nationality and gender,,,
22225,unemployment rates_ men,,,
22226,unemployment rates_ total,,,
22227,unemployment rates_ women,,,
22228,youth unemployment rate,,,
22229,number of adults receiving cash assistance,,,
22230,number of recipients of disability pensions by sex and age,,,
22231,number of recipients of disability pensionsallowances by diagnostic group,,,
22232,number of recipients of payments in relation to maternitypaternity leave by birthyear of child,,,
22233,number of recipients of social security benefits,,,
22234,percentage of beneficiaries leaving the social benefits program,,['beneficiaries leaving'],['Total number of beneficiaries']
22235,percentage of beneficiaries of social security _percent population_,,['beneficiaries'],['Total number of social security _percent population']
22236,percentage of clients who obtain and retain employment for at least 90 days during the year,,['clients obtain'],['Total number of clients']
22237,percentage of families leaving temporary assistance for employment for at least 12 months,,['families leaving'],['Total number of families']
22238,percentage of unemployment insurance benefits recipients who are paid accurately,,['unemployment insurance benefits recipients paid'],['Total number of unemployment insurance benefits recipients']
22239,percentage of uninsured employers detected,,['uninsured employers detected'],['Total number of uninsured employers']
22240,percent progress in implementation of reforms in social security policies,,,
22241,average benefits of social assistance benefits,,,
22242,average duration of unemployment insurance benefits in weeks,,,
22243,average length of maternitypaternity leave per parent by birthyear of child,,,
22244,average payment in relation to maternitypaternity leave,,,
22245,total funding of occupational injury insurance,['total funding of occupational injury insurance'],,
22246,total funding of social security pension schemes and social assistance benefits,['total funding of social security pension schemes and social assistance benefits'],,
22247,total health insurance by type of expenditure,['total health insurance by type of expenditure'],,
22248,total social security health insurance_ receipts and expenditure,['total social security health insurance_ receipts and expenditure'],,
22249,unemployment insurance fund,,,
22250,number enrolled in military vocational training,,,
22251,number of participants in cvt courses,,,
22252,percentage of all enterprises providing cvt courses,,['all enterprises providing'],['Total number of all enterprises']
22253,percentage of all non_training enterprises_ by reason for not providing cvt,,['all non_training enterprises _'],['Total number of all non_training enterprises']
22254,percentage of employees _all enterprises_ participating in cvt courses,,['employees participating'],['Total number of employees']
22255,percentage of employees _all enterprises_ participating in cvt courses_ by sex,,['employees participating'],['Total number of employees']
22256,percentage of employees _only enterprises with cvt courses_ participating in cvt courses,,['employees participating'],['Total number of employees']
22257,percentage of employees in all enterprises by type of training,,['employees all enterprises type training'],['type training']
22258,percentage of employees in enterprises with and without a joint cvt agreement participating in cvt courses,,['employees participating'],['Total number of employees']
22259,percentage of employees in enterprises with and without new technologies participating in cvt courses,,['employees participating'],['Total number of employees']
22260,percentage of enterprises assessing the skills and training needs of employees as percentage of all enterprises,,['enterprises assessing'],['Total number of enterprises']
22261,percentage of enterprises assessing their future manpower andor skill needs as percentage of all enterprises,,['enterprises assessing'],['Total number of enterprises']
22262,percentage of enterprises evaluating the effect of cvt courses,,['enterprises evaluating'],['Total number of enterprises']
22263,percentage of enterprises not evaluating the effect of cvt courses,,['enterprises evaluating'],['Total number of enterprises']
22264,percentage of enterprises providing any other form of training,,['enterprises providing'],['Total number of enterprises']
22265,percentage of enterprises that needed to obtain or develop new skills,,['enterprises needed'],['Total number of enterprises']
22266,percentage of enterprises undergoing technological or structural changes,,['enterprises undergoing'],['Total number of enterprises']
22267,percentage of enterprises with a training plan including cvt,,['enterprises including'],['Total number of enterprises']
22268,percentage of enterprises with the need to obtain or develop new skills,,['enterprises obtain'],['Total number of enterprises']
22269,percentage of enterprises without a training plan including cvt,,['enterprises including'],['Total number of enterprises']
22270,percentage of participants in other form of cvt as a percentage of employees in all enterprises,,['participants other form cvt a percentage employees all enterprises'],['a percentage employees all enterprises']
22271,percentage of reasons having an influence on the scope of the enterprises cvt activities,,['reasons having'],['Total number of reasons']
22272,percentage of training enterprises having a specific person or unit responsible for training,,['training enterprises having'],['Total number of training enterprises']
22273,percentage of training enterprises making use of an external advisory service,,['training enterprises making'],['Total number of training enterprises']
22274,employment rate of graduates from vocational training institution after 6 months from graduation,,,
22275,enterprises evaluating the effect of vt courses as percentage of all enterprises providing vt courses,,['the effect evaluating'],['Total number of the effect']
22276,enterprises evaluating the effect of vt courses as percentage of training enterprises,,['the effect evaluating'],['Total number of the effect']
22277,enterprises providing any other form of training as percentage of all enterprises,,['any other form providing'],['Total number of any other form']
22278,enterprises providing other forms of training_ by form of training ,,,
22279,enterprises providing vt courses by percentage of occupational group,,['vt courses providing'],['Total number of vt courses']
22280,enterprises providing vt courses by percentage of participation of employees,,['vt courses providing'],['Total number of vt courses']
22281,enterprises providing vt courses_ by particular population category ,,,
22282,enterprises providing vt courses_ by type of contribution to collective funding arrangements ,,,
22283,enterprises providing vt courses_ by type of receipt from collective funding arrangements ,,,
22284,enterprises who assess the future skills needs of the enterprise as a percentage of training enterprises,,['who assess'],['Total number of who']
22285,enterprises who establish the training needs of their personnel as percentage of training enterprises,,['who establish'],['Total number of who']
22286,enterprises with a training budget including provision for vt as percentage of all enterprises,,['a training budget including'],['Total number of a training budget']
22287,enterprises with a training budget including provision for vt as percentage of training enterprises,,['a training budget including'],['Total number of a training budget']
22288,enterprises with a training centre used exclusively or partly for vt as percentage of all enterprises,,['a training centre used'],['Total number of a training centre']
22289,enterprises with a training centre used exclusively or partly for vt as percentage of training enterprises,,['a training centre used'],['Total number of a training centre']
22290,enterprises with a training plan including vt as percentage of all enterprises,,['a training plan including'],['Total number of a training plan']
22291,enterprises with a training plan including vt as percentage of training enterprises,,['a training plan including'],['Total number of a training plan']
22292,enterprises with an agreement on vt as percentage of all enterprises type of agreement,,['an agreement'],['Total number of vt']
22293,enterprises with an agreement on vt as percentage of training enterprises,,['an agreement'],['Total number of vt']
22294,enterprises with impact of public measures on their vt plans as a percent for all training enterprises,,,
22295,participants in other forms of cvt as a percentage of employees in cvt other form enterprises,,['other forms cvt a percentage employees cvt other form enterprises'],['a percentage employees cvt other form enterprises']
22296,training enterprises as percentage of all enterprises,,['percentage training'],['Total number of percentage']
22297,number of employed persons having to make time arrangements over the last year to care for children,,,
22298,number of employed persons regularly taking care of other children or people in need of care,,,
22299,number of employed persons taking time off over the last 12 months for family sickness or emergencies,,,
22300,number of employed persons who can take whole days off for family reasons,,,
22301,number of employed persons who can vary startend of working day for family reasons,,,
22302,number of employed persons wishing to change organization of their working life and care responsibilities,,,
22303,number of main childcare_related reasons given by employed persons for not working,,,
22304,number of persons regularly taking care of other children up to 14 in need of care,,,
22305,average usual working hours of employed persons,,,
22306,number of annual holidays,,,
22307,number of part_time employment,,,
22308,number of part_time employment by age groups,,,
22309,number of part_time employment by highest level of education attained,,,
22310,number of part_time employment by occupation,,,
22311,number of part_time employment by sex,,,
22312,percentage of employees finding it convenient for personal life on_call work,,['employees finding'],['Total number of employees']
22313,percentage of employees finding it convenient for personal life to do shift work activity,,['employees finding'],['Total number of employees']
22314,percentage of employees finding it convenient for personal life to work at night,,['employees finding'],['Total number of employees']
22315,percentage of employees finding it convenient for personal life to work in the evening,,['employees finding'],['Total number of employees']
22316,percentage of employees with variable working hours,,['employees'],['Total number of variable working hours']
22317,percentage of employees working on call,,['employees working'],['Total number of employees']
22318,percentage of employees working overtime,,['employees working'],['Total number of employees']
22319,percentage of employees working paid overtime,,['employees working'],['Total number of employees']
22320,percentage of self_employed persons who can control their own schedule,,['self_employed persons can'],['Total number of self_employed persons']
22321,percentage of self_employed persons who can control their own work methods,,['self_employed persons can'],['Total number of self_employed persons']
22322,percentage of self_employed persons who work for 1 single client or customer,,['self_employed persons work'],['Total number of self_employed persons']
22323,average number of actual weekly hours of work in main job,,,
22324,average number of actual weekly hours of work in the second job,,,
22325,average number of overtime hours of employees,,,
22326,average number of paid overtime hours of employees,,,
22327,average number of usual weekly hours of work in main job,,,
22328,average usual working hours of employees,,,
22329,involuntary part_time employment as percentage of the total part_time employment ,,['percentage'],['Total number of the total part_time employment']
22330,mean annual holidays,,,
22331,mean annual holidays by size of the enterprise,,,
22332,part_time employment as percentage of the total employment ,,['percentage'],['Total number of the total employment']
22333,part_time employment as a percentage of the total employment ,,['a percentage'],['Total number of the total employment']
22334,number of working_age population,,,
22335,percent employment growth,,,
22336,percent unemployment growth,,,
22337,average real wages,,,
22338,average wages,,,
22339,average working_age population,,,
22340,eiu availability of skilled labour rating,,,
22341,eiu labour market rating,,,
22342,eiu quality of labour force rating,,,
22343,employment rate,,,
22344,growth in average wages,,,
22345,manufacturing labour costs,,,
22346,manufacturing unit labour cost,,,
22347,overall labour productivity,,,
22348,overall labour productivity growth rate,,,
22349,overall unit labour costs,,,
22350,productivity labour manufacturing growth rate,,,
22351,productivity of capital,,,
22352,total labour force,['total labour force'],,
22353,employment _ persons _pers_ 000s _sa_,,,
22354,hourly labour costs index,,,
22355,unemployment _ level _ persons _pers_ 000s _sa_,,,
22356,unemployment _ rate _percentage of civilian workforce_ _sa_,,['civilian workforce _ _sa _'],['_ _sa _']
22357,number of persons in households,,,
22358,average gross annual earnings in industry and services_ by sex,,,
22359,beneficiaries of labour market policy supports_ by type of action,,,
22360,duration of working life,,,
22361,employed persons with a second job,,,
22362,employees with a contract of limited duration _annual average_,,,
22363,employment _ lfs adjusted series,,,
22364,employment growth by sex,,,
22365,employment rate by educational attainment level,,,
22366,employment rate by sex_ age group 20_64,,,
22367,employment rate of the age group 15_64 by nuts 2 regions,,,
22368,employment rate of the age group 20_64 by nuts 2 regions,,,
22369,employment rate of the age group 55_64 by nuts 2 regions,,,
22370,harmonized unemployment percent by sex,,,
22371,harmonized unemployment percent by sex _ age group 15_24,,,
22372,harmonized unemployment percent by sex _ age group 25_74,,,
22373,hours worked per week of full_time employment,,,
22374,hours worked per week of part_time employment,,,
22375,job vacancies in number and percent _ nace rev. 2_ b_s_ quarterly data,,,
22376,jobless households _ children,,,
22377,jobless households by sex,,,
22378,labour cost index by nace rev. 2 _ index,,,
22379,labour costs annual data _ nace rev. 2,,,
22380,lfs series _specific topics,,,
22381,long_term unemployment percent _12 months and more_ by nuts 2 regions,,,
22382,long_term unemployment rate_ by sex,,,
22383,minimum wages,,,
22384,participants in labour market policy measures_ by type of action,,,
22385,people living in households with very low work intensity,,,
22386,persons employed part_time _ total,,,
22387,persons registered with public employment services,,,
22388,population_ activity and inactivity _ lfs adjusted series,,,
22389,public expenditure on labour market policies_ by type of action,,,
22390,public expenditure on labour market policy measures_ by type of action,,,
22391,public expenditure on labour market policy supports_ by type of action,,,
22392,social security and other labour costs paid by employer,,,
22393,total unemployment rate,['total unemployment rate'],,
22394,unemployment _ lfs adjusted series,,,
22395,unemployment rate by nuts 2 regions,,,
22396,unemployment rates of the population aged 25_64 by educational attainment level,,,
22397,number cases of fatal occupational injury _ by sex and economic activity,,,
22398,number cases of fatal occupational injury _ by sex and occupation,,,
22399,number cases of non_fatal occupational injury _ by sex and economic activity,,,
22400,number cases of non_fatal occupational injury _ by sex and occupation,,,
22401,number cases of non_fatal occupational injury _ by sex_ type of incapacity and economic activity,,,
22402,number of own_account and contributing family workers _ by sex,,,
22403,percentage of employment in the public sector _ by sex,,['employment _'],['Total number of employment']
22404,percentage of informal employees in non_agriculture _ by sex and ruralurban,,['informal employees non_agriculture _ sex ruralurban'],['sex ruralurban']
22405,percentage of informal employment _ by sex_ ruralurban_ agriculturenon_agriculture,,['informal employment'],['Total number of sex_ ruralurban_ agriculturenon_agriculture']
22406,percentage of informal employment outside the informal sector _ by sex_ ruralurban_ agriculturenon_agriculture,,['informal employment the informal sector sex_ ruralurban_ agriculturenon_agriculture'],['the informal sector sex_ ruralurban_ agriculturenon_agriculture']
22407,percentage of informal sector _ by sex_ ruralurban_ agriculturenon_agriculture,,['informal sector'],['Total number of sex_ ruralurban_ agriculturenon_agriculture']
22408,percentage of long term unemployment in total unemployment _ by sex,,['long term unemployment total unemployment sex'],['total unemployment sex']
22409,percentage of own_account and contributing family workers in total employment _ by sex,,['own_account contributing'],['Total number of own_account']
22410,percentage of youth labour force plus youth discouraged job_seekers _ by sex,,['youth labour force discouraged'],['Total number of youth labour force']
22411,percentage of youth not in employment and not in education _ by sex,,['youth employment education _ sex'],['education _ sex']
22412,percentage of youth not in employment and not in education _ by sex_ age_ ruralurban area,,['youth employment education _ sex _ age_ ruralurban area'],['_ sex _ age_ ruralurban area']
22413,bargaining _ collective bargaining coverage rate ,,,
22414,consumer price index annual change _ cpi_ annual average rate of change by selected coicop divisions,,,
22415,consumer price index_ food_ 2000equal to100 _ilo_,,,
22416,consumer price index_ general_ 2000equal to100 _ilo_,,,
22417,cost of employing labour_ or labour cost,,,
22418,days lost due to cases of occupational injury with temporary incapacity for work _ by sex and economic activity,,,
22419,days not worked due to strikes and lockouts _ by economic activity,,,
22420,demand for labour or vacancies,,,
22421,discouraged job_seekers _ by sex and age,,,
22422,earnings distribution _ percentage of women earning the low pay,,['women earning'],['Total number of women']
22423,earnings distribution _ earnings dispersion among employees _decile 9decile 1_,,,
22424,earnings distribution _ earnings dispersion among employees _decile 9decile 5_,,,
22425,earnings distribution _ gender wage gap by economic activity,,,
22426,earnings distribution _ gender wage gap by occupation,,,
22427,earnings distribution _ mean nominal monthly earnings of employees by decile,,,
22428,earnings of employees _ statutory nominal gross monthly minimum wage,,,
22429,economic activity rate by sex_ 13 age groups_ 1980_2020 _ilo estimatesprojections_,,,
22430,economically active population by sex_ 13 age groups _ilo estimatesprojections_,,,
22431,employees _ by economic activity and occupation,,,
22432,employees _ by sex and economic activity,,,
22433,employees _ by sex and economic activity _ selected isic level 2,,,
22434,employees _ by sex and institutional sector,,,
22435,employees _ by sex and occupation,,,
22436,employees _ by sex and occupation _ selected isco level 2,,,
22437,employees _ by sex and weekly hours actually worked,,,
22438,employment _ by economic activity and occupation,,,
22439,employment _ by sex and age,,,
22440,employment _ by sex and age _ilo estimates and projections_,,,
22441,employment _ by sex and economic activity,,,
22442,employment _ by sex and economic activity _ selected isic level 2,,,
22443,employment _ by sex and economic activity _ilo estimates and projections_,,,
22444,employment _ by sex and institutional sector,,,
22445,employment _ by sex and occupation,,,
22446,employment _ by sex and occupation _ selected isco level 2,,,
22447,employment _ by sex and rural  urban areas,,,
22448,employment _ by sex and status in employment,,,
22449,employment _ by sex and status in employment _ilo estimates and projections_,,,
22450,employment _ by sex and weekly hours actually worked,,,
22451,employment _ by sex_ age and education,,,
22452,employment _ by sex_ age and working time arrangement,,,
22453,employment _ by sex_ age_ ruralurban area,,,
22454,employment by sex and industry branch_ isic 2 _000s,,,
22455,ilo_,,,
22456,employment by sex and industry branch_ isic 3 _000s,,,
22457,ilo,,,
22458,employment_to_population ratio _ by sex and age,,,
22459,employment_to_population ratio _ by sex and age _ilo estimates and projections_,,,
22460,employment_to_population ratio _ by sex and education,,,
22461,employment_to_population ratio _ by sex_ age_ ruralurban area,,,
22462,extent and characteristics of labor social security coverage,,,
22463,female percentage of employment _ by economic activity,,['employment'],['Total number of economic activity']
22464,female percentage of employment _ by occupation,,['employment'],['Total number of occupation']
22465,female percentage of employment _ in senior and middle management ,,['employment _ senior and middle management'],['_ senior and middle management']
22466,female percentage of paid employment _ in non_agriculture,,['paid employment _ paid'],['Total number of paid employment _']
22467,female percentage of unemployment _ by education,,['unemployment'],['Total number of education']
22468,frequency rate of fatal occupational injury _ by sex and economic activity,,,
22469,frequency rate of fatal occupational injury _ by sex and occupation,,,
22470,frequency rate of non_fatal occupational injury _ by sex and economic activity,,,
22471,frequency rate of non_fatal occupational injury _ by sex and occupation,,,
22472,health expenditure _ percentage of health care expenditure not financed by private payments,,['health care expenditure financed'],['Total number of health care expenditure']
22473,health expenditure _ public health expenditure as a percentage of gov. expenditure,,['_ public health expenditure a percentage gov. expenditure'],['a percentage gov. expenditure']
22474,health expenditure _ total health expenditure as a percentage of gdp by institutional sector,,['a percentage gdp institutional sector'],['gdp institutional sector']
22475,hours of work,,,
22476,inactivity rate _ by sex and age,,,
22477,incidence of part_time employment _ by sex,,,
22478,income and expenditures of the households where they live,,,
22479,income from employment of paid and self employed persons during a particular period,,,
22480,industry or branch of economic activity of the establishment where they work,,,
22481,informal employment _ by sex_ ruralurban_ agriculturenon_agriculture,,,
22482,informal employment outside the informal sector _ by sex_ ruralurban_ agriculturenon_agriculture,,,
22483,informal sector _ by sex_ ruralurban_ agriculturenon_agriculture,,,
22484,institutional sector _whether corporation_ household_ public_,,,
22485,international migrant flow _ inflows of migrants by sex and country of origin,,,
22486,international migrant flow _ mean monthly employment income by sex_ total and migrants,,,
22487,international migrant flow _ median monthly employment income by sex_ total and migrants,,,
22488,international migrant stock _ employment by economic activity_ total and migrants,,,
22489,international migrant stock _ employment by occupation_ total and migrants,,,
22490,international migrant stock _ employment by sex and age_ total and migrants,,,
22491,international migrant stock _ labour force by sex and age_ total and migrants,,,
22492,international migrant stock _ migrants by country of origin,,,
22493,international migrant stock _ resident population by sex_ total and migrants,,,
22494,international migrant stock _ working_age population by sex_ total and migrant,,,
22495,labor occupational injuries and diseases resulting from exposure to risk factors at work,,,
22496,labor participation in strikes and lockouts_ union participation_ and collective bargaining,,,
22497,labor training experience _lifelong learning_,,,
22498,labour force _ by sex and age,,,
22499,labour force _ by sex and age _ilo estimates and projections_,,,
22500,labour force _ by sex_ age and education,,,
22501,labour force _ by sex_ age_ ruralurban area,,,
22502,labour force participation rate _ by sex and age,,,
22503,labour force participation rate _ by sex and education,,,
22504,labour force participation rate _ by sex_ age and type of scenario _ilo estimates and projections_,,,
22505,labour force participation rate _ by sex_ age_ ruralurban area,,,
22506,labour income percent _ in gross value added _gva_,,,
22507,labour inspection _ number of labour inspectors by sex,,,
22508,labour inspection _ registered workplaces that could be selected for labour inspection,,,
22509,labour inspection _ visits per inspector,,,
22510,labour inspection _ visits to workplaces during the year,,,
22511,labour inspection rate _ inspectors per 10_000 employed persons,,,
22512,low pay rate _ by sex,,,
22513,mean nominal hourly earnings of employees _ by sex and occupation,,,
22514,mean nominal hourly labour cost per employee _ by economic activity,,,
22515,mean nominal monthly earnings of employees _ by sex and economic activity,,,
22516,mean nominal monthly earnings of employees _ by sex and occupation,,,
22517,mean nominal monthly employment income of self_employed workers _ by sex_ ruralurban,,,
22518,mean real monthly earnings of employees _ by sex,,,
22519,mean weekly hours actually worked per employed person _ by sex and economic activity,,,
22520,mean weekly hours actually worked per employed person _ by sex and occupation,,,
22521,mean weekly hours actually worked per employee _ by sex and economic activity,,,
22522,mean weekly hours actually worked per employee _ by sex and occupation,,,
22523,median nominal monthly earnings of employees _ by sex,,,
22524,nationals abroad _ outflow of nationals by sex and country of destination,,,
22525,nationals abroad _ stock of nationals abroad by sex and country of residence,,,
22526,nominal monthly earnings of employees _ by decile,,,
22527,public sector employees _ by sex and institutional sector,,,
22528,public sector employment _ by sex and institutional sector,,,
22529,public social protection expenditure _ as a percentage of gdp in function of health care,,['_ a percentage gdp function health care'],['gdp function health care']
22530,public social protection expenditure _ on benefits as a percentage of gdp by age,,['_ benefits a percentage gdp age'],['a percentage gdp age']
22531,public social protection expenditure _ on benefits for the working_age as a percentage of gdp,,['_ benefits the working_age a percentage gdp'],['the working_age a percentage gdp']
22532,rate of days not worked due to strikes and lockouts _ by economic activity,,,
22533,social protection coverage _ percentage of unemployed receiving regular social security unemployment benefits,,['regular social security unemployment benefits receiving'],['Total number of regular social security unemployment benefits']
22534,social protection coverage _ social health protection coverage as a percentage of total population,,['a percentage'],['Total number of total population']
22535,strikes and lockouts _ by economic activity,,,
22536,time lost per occupational injury _ by sex and economic activity,,,
22537,time_related underemployment _ by sex and age,,,
22538,time_related underemployment _ by sex and economic activity,,,
22539,time_related underemployment rate _ by sex and age,,,
22540,time_related underemployment rate _ by sex and economic activity,,,
22541,trade unions _ trade union density rate ,,,
22542,unemployment _ by sex and age,,,
22543,unemployment _ by sex and age _ilo estimates and projections_,,,
22544,unemployment _ by sex and categories of unemployed persons,,,
22545,unemployment _ by sex and rural  urban areas,,,
22546,unemployment _ by sex_ age and duration,,,
22547,unemployment _ by sex_ age and education,,,
22548,unemployment _ by sex_ age_ ruralurban area,,,
22549,unemployment _ of previously employed persons by sex and former economic activity,,,
22550,unemployment _ of previously employed persons by sex and former occupation,,,
22551,unemployment by sex_ rates  and number _000s_ _ilosyb_,,,
22552,unemployment rate _ by sex and age,,,
22553,unemployment rate _ by sex and age _ilo estimates and projections_,,,
22554,unemployment rate _ by sex and education,,,
22555,unemployment rate _ by sex_ age and education,,,
22556,unemployment rate _ by sex_ age_ ruralurban area,,,
22557,wages in manufacturing _isic 2__ by sex_ national currency,,,
22558,women wage employment in non_agricultural sector as percentage of total non_agriculture employees,,['employment'],['Total number of non_agricultural sector']
22559,workers involved in strikes and lockouts _ by economic activity,,,
22560,youth employment _ by sex_ age_ ruralurban area,,,
22561,youth employment _ by sex_ age_ ruralurban area and economic activity,,,
22562,youth employment _ by sex_ age_ ruralurban area and education,,,
22563,youth employment _ by sex_ age_ ruralurban area and occupation,,,
22564,youth employment _ by sex_ age_ ruralurban area and school attendance status,,,
22565,youth employment _ by sex_ age_ ruralurban area and status in employment,,,
22566,youth employment _ by sex_ age_ ruralurban area and weekly hours actually worked,,,
22567,youth employment _ by sex_ age_ ruralurban area and working time arrangement,,,
22568,youth employment _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22569,youth employment_to_population ratio _ by sex_ age_ ruralurban area,,,
22570,youth employment_to_population ratio _ by sex_ age_ ruralurban area and edu.,,,
22571,youth employment_to_population ratio _ by sex_ age_ ruralurban area and school attendance status,,,
22572,youth employment_to_population ratio _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22573,youth inactivity rate _ by sex_ age_ ruralurban area,,,
22574,youth inactivity rate _ by sex_ age_ ruralurban area and education,,,
22575,youth inactivity rate _ by sex_ age_ ruralurban area and school attendance status,,,
22576,youth inactivity rate _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22577,youth labour force _ by sex_ age_ ruralurban area,,,
22578,youth labour force _ by sex_ age_ ruralurban area and edu.,,,
22579,youth labour force _ by sex_ age_ ruralurban area and school attendance status,,,
22580,youth labour force _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22581,youth labour force participation rate _ by sex_ age_ ruralurban area,,,
22582,youth labour force participation rate _ by sex_ age_ ruralurban area and education,,,
22583,youth labour force participation rate _ by sex_ age_ ruralurban area and school attendance status,,,
22584,youth labour force participation rate _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22585,youth not in education and not in employment _ by sex,,,
22586,youth not in education and not in employment _ by sex_ age_ ruralurban area,,,
22587,youth outside the labour force _ by sex_ age_ ruralurban area,,,
22588,youth outside the labour force _ by sex_ age_ ruralurban area and education,,,
22589,youth outside the labour force _ by sex_ age_ ruralurban area and reason for inactivity,,,
22590,youth outside the labour force _ by sex_ age_ ruralurban area and school attendance status,,,
22591,youth outside the labour force _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22592,youth time_related underemployment _ by sex_ age_ ruralurban area,,,
22593,youth unemployment _ by sex_ age_ ruralurban area,,,
22594,youth unemployment _ by sex_ age_ ruralurban area and categories of unemployed persons,,,
22595,youth unemployment _ by sex_ age_ ruralurban area and duration,,,
22596,youth unemployment _ by sex_ age_ ruralurban area and education,,,
22597,youth unemployment _ by sex_ age_ ruralurban area and school attendance status,,,
22598,youth unemployment _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22599,youth unemployment _extended definition_ by sex_ age_ ruralurban area,,,
22600,youth unemployment rate _ by sex_ age_ ruralurban area,,,
22601,youth unemployment rate _ by sex_ age_ ruralurban area and education,,,
22602,youth unemployment rate _ by sex_ age_ ruralurban area and school attendance status,,,
22603,youth unemployment rate _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22604,youth unemployment rate_ aged 15_24_ by sex_ _ilo estimatesmdg_,,,
22605,youth unemployment_ ratio of youth unemployment rate to adult unemployment rate_ by sex,,,
22606,youth unemployment_ share of youth unemployed to total unemployed_ percent_ by sex,,,
22607,youth unemployment_ share of youth unemployed to youth population_ percent_ by sex,,,
22608,youth unemployment_to_population ratio _ by sex_ age_ ruralurban areas and school attendance status,,,
22609,youth unemployment_to_population ratio _ by sex_ age_ ruralurban areas_ school attendance status and edu.,,,
22610,youth working_age population _ by sex_ age_ ruralurban area,,,
22611,youth working_age population _ by sex_ age_ ruralurban area and education,,,
22612,youth working_age population _ by sex_ age_ ruralurban area and labour market status,,,
22613,youth working_age population _ by sex_ age_ ruralurban area and school attendance status,,,
22614,youth working_age population _ by sex_ age_ ruralurban area_ school attendance status and edu.,,,
22615,youth working_age population _ by sex_ age_ ruralurban area_ school attendance status and labour market status,,,
22616,number incidence of discouraged workers,,,
22617,number incidence of economic short time workers,,,
22618,number incidence of employment by usual weekly hours worked,,,
22619,number incidence of ftpt employment _ common definition,,,
22620,number incidence of ftpt employment _ national definitions,,,
22621,number incidence of involuntary part time workers,,,
22622,number incidence of part_time employment,,,
22623,number incidence of permanent employment,,,
22624,number incidence of unemployment by duration,,,
22625,percent gap with respect to us gdp per capita _ percent points,,,
22626,percent gap with respect to us gdp per hour worked _ percent points,,,
22627,percentage of national employment growth due to the 10percentage of most dynamic regions,,['national employment growth'],['Total number of most dynamic regions']
22628,average annual hours actually worked per worker,,,
22629,average usual weekly hours worked on the main job,,,
22630,breakdown of gdp per capita in its components,,,
22631,capital services by type of asset,,,
22632,decile ratios of gross earnings,,,
22633,differences in annual employment growth across regions_ country average,,,
22634,differences in annual employment growth across regions_ maximum,,,
22635,differences in annual employment growth across regions_ minimum,,,
22636,economic short time workers,,,
22637,effect of labour utilization _ percent points,,,
22638,employment by job tenure intervals _ average tenure,,,
22639,employment by job tenure intervals _ persons,,,
22640,employment by permanency of the job,,,
22641,employment protection,,,
22642,employment rates of foreign_born population by educational attainment_ total ,,,
22643,employment rates of native_born population by educational attainment_ total ,,,
22644,employment_ total and by industry,,,
22645,exchange rate adjusted ulc,,,
22646,ftpt employment based on a common definition,,,
22647,ftpt employment based on national definitions,,,
22648,full_time part_time employment,,,
