,Measures,Single_operand,Numerator,Denominator
1061,average order to receipt cycle time,,[' order to receipt cycle time '],[' receipt cycle time ']
1062,average order to start time,,[' order to start time '],[' start time ']
1063,average order value,,[' order value '],['average order value ']
1064,average order value aov,,[' order value aov '],['average order value aov ']
1065,average order value _aov,,[' order value _aov '],['average order value _aov ']
1066,average outage time,,[' outage time '],['average outage time ']
1067,average outstanding liability in us dollar on loans by loan regime and financing purpose,,[' outstanding liability in us dollar on loans by loan regime and financing purpose '],[' us dollar on loans by loan regime and financing purpose ']
1068,average outstanding liability in us dollar on loans by location,,[' outstanding liability in us dollar on loans by location '],[' us dollar on loans by location ']
1069,average outstanding liability in us dollar on loans by signing period,,[' outstanding liability in us dollar on loans by signing period '],[' us dollar on loans by signing period ']
1070,average outstanding liability in us dollar on loans by signing period loan regime and financing purpose,,[' outstanding liability in us dollar on loans by signing period loan regime and financing purpose '],[' us dollar on loans by signing period loan regime and financing purpose ']
1071,average overall cost of producing a payslip per pay run,,[' overall cost of producing a payslip per pay run '],[' producing a payslip per pay run ']
1072,average overall rating of adequacy of facilities and equipment in a survey of faculty,,[' overall rating of adequacy of facilities and equipment in a survey of faculty '],[' adequacy of facilities and equipment in a survey of faculty ']
1073,average overdue time of book borrows,,[' overdue time of book borrows '],[' book borrows ']
1074,average overdue time of compliance issues,,[' overdue time of compliance issues '],[' compliance issues ']
1075,average overdue time of court cases,,[' overdue time of court cases '],[' court cases ']
1076,average overdue time of insurance claims,,[' overdue time of insurance claims '],[' insurance claims ']
1077,average overdue time of maintenance requests,,[' overdue time of maintenance requests '],[' maintenance requests ']
1078,average overdue time of orders,,[' overdue time of orders '],[' orders ']
1079,average overdue time of overdue service requests,,[' overdue time of overdue service requests '],[' overdue service requests ']
1080,average overdue time of project issues,,[' overdue time of project issues '],[' project issues ']
1081,average overdue time of project status reports,,[' overdue time of project status reports '],[' project status reports ']
1082,average overdue time of project tasks,,[' overdue time of project tasks '],[' project tasks ']
1083,average overdue time of purchase order requests,,[' overdue time of purchase order requests '],[' purchase order requests ']
1084,average overdue time of quotations,,[' overdue time of quotations '],[' quotations ']
1085,average overdue time of releases,,[' overdue time of releases '],[' releases ']
1086,average overdue time of risk vulnerabilities,,[' overdue time of risk vulnerabilities '],[' risk vulnerabilities ']
1087,average overdue time of tax statement filing,,[' overdue time of tax statement filing '],[' tax statement filing ']
1088,average overdue time of tax statement payment,,[' overdue time of tax statement payment '],[' tax statement payment ']
1089,average overdue time of work items,,[' overdue time of work items '],[' work items ']
1090,average overtime cost per headcount,,[' overtime cost per headcount '],[' headcount ']
1091,average overtime hours per employee,,[' overtime hours per employee '],[' employee ']
1092,average overtime hours per person,,[' overtime hours per person '],[' person ']
1093,average ozone levels,,[' ozone levels '],['average ozone levels ']
1094,average pages per session,,[' pages per session '],[' session ']
1095,average paid time off,,[' paid time off '],['average paid time off ']
1096,average parity of culled sows,,[' parity of culled sows '],[' culled sows ']
1097,average parity of livestock,,[' parity of livestock '],[' livestock ']
1098,average participant rating on the effectiveness of executive development programs,,[' participant rating on the effectiveness of executive development programs '],[' executive development programs ']
1099,average partner acquisition time,,[' partner acquisition time '],['average partner acquisition time ']
1100,average parts delivery period current,,[' parts delivery period current '],['average parts delivery period current ']
1101,average parts delivery period non current,,[' parts delivery period non current '],['average parts delivery period non current ']
1102,average parts delivery period _ current,,[' parts delivery period _ current '],['average parts delivery period _ current ']
1103,average passenger expenditure for public transport,,[' passenger expenditure for public transport '],['average passenger expenditure for public transport ']
1104,average passenger income for lowest income quartile,,[' passenger income for lowest income quartile '],['average passenger income for lowest income quartile ']
1105,average patent pendency,,[' patent pendency '],['average patent pendency ']
1106,average patient consult time,,[' patient consult time '],['average patient consult time ']
1107,average patient records coded per hour,,[' patient records coded per hour '],[' hour ']
1108,average patient wait time,,[' patient wait time '],['average patient wait time ']
1109,average patrol response time to critical emergencies,,[' patrol response time to critical emergencies '],[' critical emergencies ']
1110,average pavement condition index,,[' pavement condition index '],['average pavement condition index ']
1111,average pavement rating for residential streets,,[' pavement rating for residential streets '],['average pavement rating for residential streets ']
1112,average pay per employee,,[' pay per employee '],[' employee ']
1113,average payload,,[' payload '],['average payload ']
1114,average payment in relation to maternitypaternity leave,,[' payment in relation to maternitypaternity leave '],[' relation to maternitypaternity leave ']
1115,average payment per employee per year,,[' payment per employee per year '],[' employee per year ']
1116,average payment period _days,,[' payment period _days '],['average payment period _days ']
1117,average payments made by credit card,,[' payments made by credit card '],['average payments made by credit card ']
1118,average peak period speed in metropolitan network,,[' peak period speed in metropolitan network '],[' metropolitan network ']
1119,average penalty costs per sla,,[' penalty costs per sla '],[' sla ']
1120,average performance scores of departing employees,,[' performance scores of departing employees '],[' departing employees ']
1121,average personnel costs by nace rev. 2,,[' personnel costs by nace rev. 2 '],['average personnel costs by nace rev. 2 ']
1122,average personnel costs by sector,,[' personnel costs by sector '],['average personnel costs by sector ']
1123,average personnel expense per employee,,[' personnel expense per employee '],[' employee ']
1124,average picks per order,,[' picks per order '],[' order ']
1125,average planned workload per workforce member,,[' planned workload per workforce member '],[' workforce member ']
1126,average plant cost per hour,,[' plant cost per hour '],[' hour ']
1127,average plant salary,,[' plant salary '],['average plant salary ']
1128,average platform fee amount of service partner,,[' platform fee amount of service partner '],[' service partner ']
1129,average policy change cost per transaction,,[' policy change cost per transaction '],[' transaction ']
1130,average policy size,,[' policy size '],['average policy size ']
1131,average population by five year age group,,[' population by five year age group '],['average population by five year age group ']
1132,average population size per dentist,,[' population size per dentist '],[' dentist ']
1133,average population size per nurses and midwives,,[' population size per nurses and midwives '],[' nurses and midwives ']
1134,average population size per physician,,[' population size per physician '],[' physician ']
1135,average population unavailable to services,,[' population unavailable to services '],[' services ']
1136,average portions of fruit consumed on per day by the population who eat fruit daily,,[' portions of fruit consumed on per day by the population who eat fruit daily '],[' fruit consumed on per day by the population who eat fruit daily ']
1137,average portions of vegetables consumed per day by the population who eat vegetables daily,,[' portions of vegetables consumed per day by the population who eat vegetables daily '],[' vegetables consumed per day by the population who eat vegetables daily ']
1138,average power consumption per connection,,[' power consumption per connection '],[' connection ']
1139,average precipitation in depth mm per year,,[' precipitation in depth mm per year '],[' depth mm per year ']
1140,average preventive maintenance costs per airplane,,[' preventive maintenance costs per airplane '],[' airplane ']
1141,average preventive maintenance costs per gas connection,,[' preventive maintenance costs per gas connection '],[' gas connection ']
1142,average preventive maintenance costs per gas distribution km,,[' preventive maintenance costs per gas distribution km '],[' gas distribution km ']
1143,average preventive maintenance costs per power connection,,[' preventive maintenance costs per power connection '],[' power connection ']
1144,average preventive maintenance costs per power distribution km,,[' preventive maintenance costs per power distribution km '],[' power distribution km ']
1145,average preventive maintenance costs per real estate rental property,,[' preventive maintenance costs per real estate rental property '],[' real estate rental property ']
1146,average preventive maintenance costs per rental property,,[' preventive maintenance costs per rental property '],[' rental property ']
1147,average preventive maintenance costs per room,,[' preventive maintenance costs per room '],[' room ']
1148,average preventive maintenance costs per sewage connection,,[' preventive maintenance costs per sewage connection '],[' sewage connection ']
1149,average preventive maintenance costs per sewage km,,[' preventive maintenance costs per sewage km '],[' sewage km ']
1150,average preventive maintenance costs per ship,,[' preventive maintenance costs per ship '],[' ship ']
1151,average preventive maintenance costs per square foot of property space,,[' preventive maintenance costs per square foot of property space '],[' square foot of property space ']
1152,average preventive maintenance costs per telecom tower,,[' preventive maintenance costs per telecom tower '],[' telecom tower ']
1153,average preventive maintenance costs per train,,[' preventive maintenance costs per train '],[' train ']
1154,average preventive maintenance costs per treatment room,,[' preventive maintenance costs per treatment room '],[' treatment room ']
1155,average preventive maintenance costs per truck,,[' preventive maintenance costs per truck '],[' truck ']
1156,average preventive maintenance costs per water connection,,[' preventive maintenance costs per water connection '],[' water connection ']
1157,average preventive maintenance costs per water distribution km,,[' preventive maintenance costs per water distribution km '],[' water distribution km ']
1158,average preventive maintenance man hours per day,,[' preventive maintenance man hours per day '],[' day ']
1159,average preventive maintenance time per airplane,,[' preventive maintenance time per airplane '],[' airplane ']
1160,average preventive maintenance time per gas connection,,[' preventive maintenance time per gas connection '],[' gas connection ']
1161,average preventive maintenance time per gas distribution km,,[' preventive maintenance time per gas distribution km '],[' gas distribution km ']
1162,average preventive maintenance time per power connection,,[' preventive maintenance time per power connection '],[' power connection ']
1163,average preventive maintenance time per power distribution km,,[' preventive maintenance time per power distribution km '],[' power distribution km ']
1164,average preventive maintenance time per real estate rental property,,[' preventive maintenance time per real estate rental property '],[' real estate rental property ']
1165,average preventive maintenance time per rental property,,[' preventive maintenance time per rental property '],[' rental property ']
1166,average preventive maintenance time per room,,[' preventive maintenance time per room '],[' room ']
1167,average preventive maintenance time per sewage connection,,[' preventive maintenance time per sewage connection '],[' sewage connection ']
1168,average preventive maintenance time per sewage km,,[' preventive maintenance time per sewage km '],[' sewage km ']
1169,average preventive maintenance time per ship,,[' preventive maintenance time per ship '],[' ship ']
1170,average preventive maintenance time per square foot of property space,,[' preventive maintenance time per square foot of property space '],[' square foot of property space ']
1171,average preventive maintenance time per telecom tower,,[' preventive maintenance time per telecom tower '],[' telecom tower ']
1172,average preventive maintenance time per train,,[' preventive maintenance time per train '],[' train ']
1173,average preventive maintenance time per treatment room,,[' preventive maintenance time per treatment room '],[' treatment room ']
1174,average preventive maintenance time per truck,,[' preventive maintenance time per truck '],[' truck ']
1175,average preventive maintenance time per unit,,[' preventive maintenance time per unit '],[' unit ']
1176,average preventive maintenance time per water connection,,[' preventive maintenance time per water connection '],[' water connection ']
1177,average preventive maintenance time per water distribution km,,[' preventive maintenance time per water distribution km '],[' water distribution km ']
1178,average price discount per product,,[' price discount per product '],[' product ']
1179,average price discount per sales person,,[' price discount per sales person '],[' sales person ']
1180,average price of brent,,[' price of brent '],[' brent ']
1181,average price of crude oil in current us dollar since 1960,,[' price of crude oil in current us dollar since 1960 '],[' crude oil in current us dollar since 1960 ']
1182,average price of light oil,,[' price of light oil '],[' light oil ']
1183,average price of project,,[' price of project '],[' project ']
1184,average price of sold fruit and olive trees directly to farmers in us dollar by nursery gardens by source,,[' price of sold fruit and olive trees directly to farmers in us dollar by nursery gardens by source '],[' sold fruit and olive trees directly to farmers in us dollar by nursery gardens by source ']
1185,average price of sold fruit directly to supermarkets in us dollar,,[' price of sold fruit directly to supermarkets in us dollar '],[' sold fruit directly to supermarkets in us dollar ']
1186,average price per order,,[' price per order '],[' order ']
1187,average prices of telecommunication,,[' prices of telecommunication '],[' telecommunication ']
1188,average primary income of households,,[' primary income of households '],[' households ']
1189,average printing services reduction of pre press time,,[' printing services reduction of pre press time '],[' pre press time ']
1190,average printing services reduction of pre_press time,,[' printing services reduction of pre_press time '],[' pre_press time ']
1191,average prison sentence months,,[' prison sentence months '],['average prison sentence months ']
1192,average prison sentence _months,,[' prison sentence _months '],['average prison sentence _months ']
1193,average probability of sales opportunities,,[' probability of sales opportunities '],[' sales opportunities ']
1194,average problem closure duration,,[' problem closure duration '],['average problem closure duration ']
1195,average process time,,[' process time '],['average process time ']
1196,average processing expense per application,,[' processing expense per application '],[' application ']
1197,average processing time for an indigent defense claim,,[' processing time for an indigent defense claim '],['average processing time for an indigent defense claim ']
1198,average processing time for an indigent defense claim within an established standard,,[' processing time for an indigent defense claim within an established standard '],['average processing time for an indigent defense claim within an established standard ']
1199,average processing time of building permits major applications,,[' processing time of building permits major applications '],[' building permits major applications ']
1200,average processing time of building permits minor applications,,[' processing time of building permits minor applications '],[' building permits minor applications ']
1201,average processing time of msa applications,,[' processing time of msa applications '],[' msa applications ']
1202,average processing time of service notes applications,,[' processing time of service notes applications '],[' service notes applications ']
1203,average processing time of service notes under scheme applications,,[' processing time of service notes under scheme applications '],[' service notes under scheme applications ']
1204,average processing time per case in days,,[' processing time per case in days '],[' case in days ']
1205,average product cost to the customer at the company manufacturer,,[' product cost to the customer at the company manufacturer '],[' the customer at the company manufacturer ']
1206,average product price app,,[' product price app '],['average product price app ']
1207,average product price _app,,[' product price _app '],['average product price _app ']
1208,average production cost per barrel,,[' production cost per barrel '],[' barrel ']
1209,average production cost per broadcast hour,,[' production cost per broadcast hour '],[' broadcast hour ']
1210,average production costs of items,,[' production costs of items '],[' items ']
1211,average production downtime,,[' production downtime '],['average production downtime ']
1212,average production of milk on the farm,,[' production of milk on the farm '],[' milk on the farm ']
1213,average profit margin,,[' profit margin '],['average profit margin ']
1214,average profit per account,,[' profit per account '],[' account ']
1215,average profit per booking,,[' profit per booking '],[' booking ']
1216,average profit per customer,,[' profit per customer '],[' customer ']
1217,average profit per hospital bed,,[' profit per hospital bed '],[' hospital bed ']
1218,average profit per hospitalized patient,,[' profit per hospitalized patient '],[' hospitalized patient ']
1219,average profit per segment,,[' profit per segment '],[' segment ']
1220,average profit per table,,[' profit per table '],[' table ']
1221,average profitability per square foot,,[' profitability per square foot '],[' square foot ']
1222,average progress rates time versus results obtained,,[' progress rates time versus results obtained '],['average progress rates time versus results obtained ']
1223,average project or program roi,,[' project or program roi '],['average project or program roi ']
1224,average project duration,,[' project duration '],['average project duration ']
1225,average project resource cost,,[' project resource cost '],['average project resource cost ']
1226,average project time frame,,[' project time frame '],['average project time frame ']
1227,average project workface flow,,[' project workface flow '],['average project workface flow ']
1228,average projectprogram roi,,[' projectprogram roi '],['average projectprogram roi ']
1229,average property management fee per property manager,,[' property management fee per property manager '],[' property manager ']
1230,average property management fees per tenancy,,[' property management fees per tenancy '],[' tenancy ']
1231,average property management time spent per property,,[' property management time spent per property '],[' property ']
1232,average prosecution cost per criminal case,,[' prosecution cost per criminal case '],[' criminal case ']
1233,average protein supply,,[' protein supply '],['average protein supply ']
1234,average prototyping speed,,[' prototyping speed '],['average prototyping speed ']
1235,average purchase order processing cost,,[' purchase order processing cost '],['average purchase order processing cost ']
1236,average purchase value,,[' purchase value '],['average purchase value ']
1237,average qr handle time,,[' qr handle time '],['average qr handle time ']
1238,average quality of call,,[' quality of call '],[' call ']
1239,average quarter hour audience,,[' quarter hour audience '],['average quarter hour audience ']
1240,average quarter_hour audience,,[' quarter_hour audience '],['average quarter_hour audience ']
1241,average queue time of incoming phone calls,,[' queue time of incoming phone calls '],[' incoming phone calls ']
1242,average ranking of schools,,[' ranking of schools '],[' schools ']
1243,average rating of student on the adequacy of academic counseling,,[' rating of student on the adequacy of academic counseling '],[' student on the adequacy of academic counseling ']
1244,average rating of student on the adequacy of career counseling,,[' rating of student on the adequacy of career counseling '],[' student on the adequacy of career counseling ']
1245,average rating of students on adequacy of library services,,[' rating of students on adequacy of library services '],[' students on adequacy of library services ']
1246,average rating of the nursing home satisfaction questionnaire regarding staff skillprofessionalism,,[' rating of the nursing home satisfaction questionnaire regarding staff skillprofessionalism '],[' the nursing home satisfaction questionnaire regarding staff skillprofessionalism ']
1247,average rating of the overall quality of student program,,[' rating of the overall quality of student program '],[' the overall quality of student program ']
1248,average real wage index,,[' real wage index '],['average real wage index ']
1249,average real wages,,[' real wages '],['average real wages ']
1250,average regulatory compliance expense per fte,,[' regulatory compliance expense per fte '],[' fte ']
1251,average regulatory compliance expense per regulatory compliance employee,,[' regulatory compliance expense per regulatory compliance employee '],[' regulatory compliance employee ']
1252,average release cycle of engineering changes,,[' release cycle of engineering changes '],[' engineering changes ']
1253,average relet time,,[' relet time '],['average relet time ']
1254,average remittances against do for associates,,[' remittances against do for associates '],['average remittances against do for associates ']
1255,average remuneration,,[' remuneration '],['average remuneration ']
1256,average rent cost of premises,,[' rent cost of premises '],[' premises ']
1257,average renting cost per square foot,,[' renting cost per square foot '],[' square foot ']
1258,average repair cost,,[' repair cost '],['average repair cost ']
1259,average repair time,,[' repair time '],['average repair time ']
1260,average reply time,,[' reply time '],['average reply time ']
1261,average reply time by emails,,[' reply time by emails '],['average reply time by emails ']
1262,average required travel time,,[' required travel time '],['average required travel time ']
1263,average resolution time for hr related complaints _discrimination_ physical harassment and sexual harassment,,[' resolution time for hr related complaints _discrimination_ physical harassment and sexual harassment '],['average resolution time for hr related complaints _discrimination_ physical harassment and sexual harassment ']
1264,average resolution time for written complaint fill,,[' resolution time for written complaint fill '],['average resolution time for written complaint fill ']
1265,average resolution time_this is the amount of time it takes for a customer support issue to be resolved_ starting from the point at which the customer reached out about the problem,,[' resolution time_this is the amount of time it takes for a customer support issue to be resolved_ starting from the point at which the customer reached out about the problem '],[' time it takes for a customer support issue to be resolved_ starting from the point at which the customer reached out about the problem ']
1266,average response rates of campaigns,,[' response rates of campaigns '],[' campaigns ']
1267,average response speed,,[' response speed '],['average response speed ']
1268,average response time,,[' response time '],['average response time ']
1269,average response time for cleaning gullies,,[' response time for cleaning gullies '],['average response time for cleaning gullies ']
1270,average response time for routine hr inquiries,,[' response time for routine hr inquiries '],['average response time for routine hr inquiries ']
1271,average response time for technical assistance,,[' response time for technical assistance '],['average response time for technical assistance ']
1272,average response time of transactions,,[' response time of transactions '],[' transactions ']
1273,average response time on request for legal opinion days,,[' response time on request for legal opinion days '],['average response time on request for legal opinion days ']
1274,average response time to business partner request,,[' response time to business partner request '],[' business partner request ']
1275,average response time to calls,,[' response time to calls '],[' calls ']
1276,average response time to fix breaks,,[' response time to fix breaks '],[' fix breaks ']
1277,average response time to remove tags,,[' response time to remove tags '],[' remove tags ']
1278,average response time to remove tags from both public and private property,,[' response time to remove tags from both public and private property '],[' remove tags from both public and private property ']
1279,average response time to requests,,[' response time to requests '],[' requests ']
1280,average response time to resolve complaint,,[' response time to resolve complaint '],[' resolve complaint ']
1281,average response time to student inquiries,,[' response time to student inquiries '],[' student inquiries ']
1282,average response times,,[' response times '],['average response times ']
1283,average retail price of alcoholic beverages,,[' retail price of alcoholic beverages '],[' alcoholic beverages ']
1284,average retail price of electricity,,[' retail price of electricity '],[' electricity ']
1285,average retail price of tobacco products,,[' retail price of tobacco products '],[' tobacco products ']
1286,average retirement age,,[' retirement age '],['average retirement age ']
1287,average retransmissions of network packets,,[' retransmissions of network packets '],[' network packets ']
1288,average return on investment roi per manager,,[' return on investment roi per manager '],[' manager ']
1289,average returning visitors per blog post,,[' returning visitors per blog post '],[' blog post ']
1290,average revenue currentdollar,,[' revenue currentdollar '],['average revenue currentdollar ']
1291,average revenue or business partner or sales channel,,[' revenue or business partner or sales channel '],['average revenue or business partner or sales channel ']
1292,average revenue generated through a single customer relationship for a certain product,,[' revenue generated through a single customer relationship for a certain product '],['average revenue generated through a single customer relationship for a certain product ']
1293,average revenue per ad served,,[' revenue per ad served '],[' ad served ']
1294,average revenue per advertisement,,[' revenue per advertisement '],[' advertisement ']
1295,average revenue per available room,,[' revenue per available room '],[' available room ']
1296,average revenue per call,,[' revenue per call '],[' call ']
1297,average revenue per casino visitor,,[' revenue per casino visitor '],[' casino visitor ']
1298,average revenue per cell site,,[' revenue per cell site '],[' cell site ']
1299,average revenue per customer,,[' revenue per customer '],[' customer ']
1300,average revenue per customer as per the aop,,[' revenue per customer as per the aop '],[' customer as per the aop ']
1301,average revenue per employee,,[' revenue per employee '],[' employee ']
1302,average revenue per employee or fte,,[' revenue per employee or fte '],[' employee or fte ']
1303,average revenue per employee _arpe,,[' revenue per employee _arpe '],[' employee _arpe ']
1304,average revenue per flight,,[' revenue per flight '],[' flight ']
1305,average revenue per guest,,[' revenue per guest '],[' guest ']
1306,average revenue per hospital bed,,[' revenue per hospital bed '],[' hospital bed ']
1307,average revenue per hospitalized patient,,[' revenue per hospitalized patient '],[' hospitalized patient ']
1308,average revenue per megawatt produced,,[' revenue per megawatt produced '],[' megawatt produced ']
1309,average revenue per order _by business,,[' revenue per order _by business '],[' order _by business ']
1310,average revenue per physician fte,,[' revenue per physician fte '],[' physician fte ']
1311,average revenue per policyholder,,[' revenue per policyholder '],[' policyholder ']
1312,average revenue per power connection,,[' revenue per power connection '],[' power connection ']
1313,average revenue per product,,[' revenue per product '],[' product ']
1314,average revenue per sale,,[' revenue per sale '],[' sale ']
1315,average revenue per service delivered,,[' revenue per service delivered '],[' service delivered ']
1316,average revenue per square foot,,[' revenue per square foot '],[' square foot ']
1317,average revenue per subscriber,,[' revenue per subscriber '],[' subscriber ']
1318,average revenue per subscriber _arps,,[' revenue per subscriber _arps '],[' subscriber _arps ']
1319,average revenue per subscription,,[' revenue per subscription '],[' subscription ']
1320,average revenue per table,,[' revenue per table '],[' table ']
1321,average revenue per unit,,[' revenue per unit '],[' unit ']
1322,average revenue per unit _arpu,,[' revenue per unit _arpu '],[' unit _arpu ']
1323,average revenue per user,,[' revenue per user '],[' user ']
1324,average revenue per user arpu,,[' revenue per user arpu '],[' user arpu ']
1325,average revenue per user _arpu,,[' revenue per user _arpu '],[' user _arpu ']
1326,average revenue realisation _arr from each unit of usage,,[' revenue realisation _arr from each unit of usage '],[' usage ']
1327,average revenue realization,,[' revenue realization '],['average revenue realization ']
1328,average revenue realization from each unit of usage,,[' revenue realization from each unit of usage '],[' usage ']
1329,average review time in days,,[' review time in days '],[' days ']
1330,average review time per criminal case,,[' review time per criminal case '],[' criminal case ']
1331,average rework in fte per change after implementation of changes,,[' rework in fte per change after implementation of changes '],[' fte per change after implementation of changes ']
1332,average rework cost,,[' rework cost '],['average rework cost ']
1333,average rework per change after implementation of changes,,[' rework per change after implementation of changes '],[' change after implementation of changes ']
1334,average risk profile for projects or programs,,[' risk profile for projects or programs '],['average risk profile for projects or programs ']
1335,average risk profile for projectsprograms,,[' risk profile for projectsprograms '],['average risk profile for projectsprograms ']
1336,average roaming cost in us dollar,,[' roaming cost in us dollar '],[' us dollar ']
1337,average run time,,[' run time '],['average run time ']
1338,average safety rating for pools,,[' safety rating for pools '],['average safety rating for pools ']
1339,average salary,,[' salary '],['average salary ']
1340,average salary for all employees reporting to the selected manager,,[' salary for all employees reporting to the selected manager '],[' the selected manager ']
1341,average salary per employee,,[' salary per employee '],[' employee ']
1342,average sale per customer per transaction,,[' sale per customer per transaction '],[' customer per transaction ']
1343,average sale per customertransaction,,[' sale per customertransaction '],[' customertransaction ']
1344,average sale per vip customer,,[' sale per vip customer '],[' vip customer ']
1345,average sale turnover per sales staff,,[' sale turnover per sales staff '],[' sales staff ']
1346,average sales cycle time,,[' sales cycle time '],['average sales cycle time ']
1347,average sales per 100 customers,,[' sales per 100 customers '],[' 100 customers ']
1348,average sales per agent,,[' sales per agent '],[' agent ']
1349,average sales per customer,,[' sales per customer '],[' customer ']
1350,average sales per customer or transaction,,[' sales per customer or transaction '],[' customer or transaction ']
1351,average sales per customer per year,,[' sales per customer per year '],[' customer per year ']
1352,average sales per employee,,[' sales per employee '],[' employee ']
1353,average sales per estimator,,[' sales per estimator '],[' estimator ']
1354,average sales per head per day,,[' sales per head per day '],[' head per day ']
1355,average sales per production square foot,,[' sales per production square foot '],[' production square foot ']
1356,average sales per production technician,,[' sales per production technician '],[' production technician ']
1357,average sales period,,[' sales period '],['average sales period ']
1358,average sales representatives per sales support employee,,[' sales representatives per sales support employee '],[' sales support employee ']
1359,average sales revenue per sales person,,[' sales revenue per sales person '],[' sales person ']
1360,average sales turnover customer,,[' sales turnover customer '],['average sales turnover customer ']
1361,average sales turnover per customer,,[' sales turnover per customer '],[' customer ']
1362,average score from call monitoring,,[' score from call monitoring '],['average score from call monitoring ']
1363,average score from external surveys,,[' score from external surveys '],['average score from external surveys ']
1364,average score from internal surveys,,[' score from internal surveys '],['average score from internal surveys ']
1365,average score of auditee survey,,[' score of auditee survey '],[' auditee survey ']
1366,average score of teen pregnancy prevention responses to survey questions relating to abstinence,,[' score of teen pregnancy prevention responses to survey questions relating to abstinence '],[' teen pregnancy prevention responses to survey questions relating to abstinence ']
1367,average score on customer satisfaction surveys regarding logistics service provision,,[' score on customer satisfaction surveys regarding logistics service provision '],['average score on customer satisfaction surveys regarding logistics service provision ']
1368,average score on employee job satisfaction surveys,,[' score on employee job satisfaction surveys '],['average score on employee job satisfaction surveys ']
1369,average screens per visit,,[' screens per visit '],[' visit ']
1370,average seconds user stays on a webpage,,[' seconds user stays on a webpage '],['average seconds user stays on a webpage ']
1371,average selling price of barley,,[' selling price of barley '],[' barley ']
1372,average selling price of calves,,[' selling price of calves '],[' calves ']
1373,average selling price of chickens,,[' selling price of chickens '],[' chickens ']
1374,average selling price of fresh eggs,,[' selling price of fresh eggs '],[' fresh eggs ']
1375,average selling price of main crop potatoes,,[' selling price of main crop potatoes '],[' main crop potatoes ']
1376,average selling price of maize,,[' selling price of maize '],[' maize ']
1377,average selling price of oats,,[' selling price of oats '],[' oats ']
1378,average selling price of raw cows milk,,[' selling price of raw cows milk '],[' raw cows milk ']
1379,average selling price of sheep,,[' selling price of sheep '],[' sheep ']
1380,average selling price of soft wheat,,[' selling price of soft wheat '],[' soft wheat ']
1381,average selling price of sugar beet unit value,,[' selling price of sugar beet unit value '],[' sugar beet unit value ']
1382,average seniority of work with the same employer,,[' seniority of work with the same employer '],[' work with the same employer ']
1383,average serp _search engine results pages ranking,,[' serp _search engine results pages ranking '],['average serp _search engine results pages ranking ']
1384,average service delivery time,,[' service delivery time '],['average service delivery time ']
1385,average service length in years,,[' service length in years '],[' years ']
1386,average service life,,[' service life '],['average service life ']
1387,average service life of equipment,,[' service life of equipment '],[' equipment ']
1388,average service request closure duration,,[' service request closure duration '],['average service request closure duration ']
1389,average serving time,,[' serving time '],['average serving time ']
1390,average session duration,,[' session duration '],['average session duration ']
1391,average shares per post,,[' shares per post '],[' post ']
1392,average shelf life,,[' shelf life '],['average shelf life ']
1393,average ship turn around time,,[' ship turn around time '],['average ship turn around time ']
1394,average shopping time per store visit,,[' shopping time per store visit '],[' store visit ']
1395,average sick leave in working days per staff member,,[' sick leave in working days per staff member '],[' working days per staff member ']
1396,average sickness days per fte,,[' sickness days per fte '],[' fte ']
1397,average sickness period of employees,,[' sickness period of employees '],[' employees ']
1398,average size of agent bookings,,[' size of agent bookings '],[' agent bookings ']
1399,average size of direct bookings,,[' size of direct bookings '],[' direct bookings ']
1400,average size of discounts in procurement of items,,[' size of discounts in procurement of items '],[' discounts in procurement of items ']
1401,average size of discounts of items,,[' size of discounts of items '],[' discounts of items ']
1402,average size of email boxes or storage,,[' size of email boxes or storage '],[' email boxes or storage ']
1403,average size of email boxesstorage,,[' size of email boxesstorage '],[' email boxesstorage ']
1404,average size of farm,,[' size of farm '],[' farm ']
1405,average size of households,,[' size of households '],[' households ']
1406,average size of households by income quintiles eclac,,[' size of households by income quintiles eclac '],[' households by income quintiles eclac ']
1407,average size of next funding rounds,,[' size of next funding rounds '],[' next funding rounds ']
1408,average size of next round funding of seed investments,,[' size of next round funding of seed investments '],[' next round funding of seed investments ']
1409,average size of venture capital deal,,[' size of venture capital deal '],[' venture capital deal ']
1410,average social insurance old age pension,,[' social insurance old age pension '],['average social insurance old age pension ']
1411,average social insurance pension,,[' social insurance pension '],['average social insurance pension ']
1412,average soil erosion expressed in glasod erosion degree,,[' soil erosion expressed in glasod erosion degree '],[' glasod erosion degree ']
1413,average sourcing cost per hire,,[' sourcing cost per hire '],[' hire ']
1414,average sox emissions ppm,,[' sox emissions ppm '],['average sox emissions ppm ']
1415,average span of control,,[' span of control '],[' control ']
1416,average speed of answer,,[' speed of answer '],[' answer ']
1417,average speed of answer _asa,,[' speed of answer _asa '],[' answer _asa ']
1418,average speed of response to distributed generation connections requests by customer category,,[' speed of response to distributed generation connections requests by customer category '],[' response to distributed generation connections requests by customer category ']
1419,average speed of underwriting,,[' speed of underwriting '],[' underwriting ']
1420,average speed on highway in km per hr,,[' speed on highway in km per hr '],[' km per hr ']
1421,average speed on highway in kmhr,,[' speed on highway in kmhr '],[' kmhr ']
1422,average speed on roads during peak periods,,[' speed on roads during peak periods '],['average speed on roads during peak periods ']
1423,average speed to answer incoming calls will be 30 seconds or less,,[' speed to answer incoming calls will be 30 seconds or less '],[' answer incoming calls will be 30 seconds or less ']
